Preguntas;Tipo de preguntas;Taxonomias;Respuesta Correcta
Cuales son los conceptos fundamentales de la programacion que es necesario recordar para poder escribir un programa funcional, y como se relacionan entre si para lograr ese objetivo?;Preguntas de composicion y ensayo;Recordar;Variables Tipos de datos Operadores 
Que es un lenguaje de programacion y para que se utiliza?;Preguntas de respuesta corta;Entender;Un lenguaje de programacion es un conjunto de reglas y simbolos utilizados para escribir programas informaticos. Se utiliza para crear aplicaciones, programas y sistemas que puedan ser ejecutados por una computadora.
Cuales son las mejores practicas para aplicar el paradigma de la programacion orientada a objetos en la creacion de una aplicacion ___________?;Preguntas de texto incompleto;Aplicar;de software
Cuales son las ventajas y desventajas de utilizar una arquitectura de microservicios en el desarrollo de software?;Preguntas de respuesta corta;Analizar;Las ventajas de utilizar una arquitectura de microservicios en el desarrollo de software incluyen mayor escalabilidad, flexibilidad y mantenibilidad. Las desventajas incluyen una mayor complejidad en el desarrollo y una mayor complejidad en el despliegue y la administracion del sistema.
Como se compara el rendimiento y la eficiencia de un algoritmo de ordenamiento de burbuja con un algoritmo de ordenamiento de mezcla?;Preguntas de respuesta corta;Evaluar;El algoritmo de ordenamiento de mezcla es mas eficiente que el algoritmo de ordenamiento de burbuja.
Verdadero o falso? Los lenguajes de programacion de alto nivel son mas faciles de aprender y utilizar que los lenguajes de bajo nivel. (Justifique su respuesta);Preguntas de verdadero – falso (justificadas):;Crear;Verdadero. Los lenguajes de programacion de alto nivel son mas faciles de aprender y utilizar que los lenguajes de bajo nivel. Esto se debe a que los lenguajes de alto nivel proporcionan una abstraccion mas cercana al lenguaje natural y permiten a los programadores enfocarse en la logica del programa en lugar de preocuparse por los detalles de bajo nivel del hardware y del sistema operativo.
Cual es la principal diferencia entre un lenguaje de programacion interpretado y uno compilado? Utiliza una analogia para explicar la diferencia.;Preguntas analogias/diferencias;Recordar;La principal diferencia entre un lenguaje de programacion interpretado y uno compilado es el momento en que se convierte el codigo fuente en instrucciones ejecutables por la computadora.
Que informacion se puede obtener de un diagrama de flujo en la programacion, y como se utiliza para escribir y entender un algoritmo?;Preguntas de interpretacion y/o elaboracion de graficos;Entender;Un diagrama de flujo en la programacion proporciona una representacion grafica del flujo de control de un programa, mostrando las etapas, decisiones y acciones que se realizan en un proceso.
Como se puede aplicar la taxonomia de Bloom en la ensenanza de la programacion para mejorar la habilidad de los estudiantes para aplicar conceptos y solucionar problemas de manera efectiva?;Preguntas de texto incompleto;Aplicar;La taxonomia de Bloom es una herramienta util para la enseñanza de la programacion, ya que ayuda a los estudiantes a desarrollar habilidades para aplicar conceptos y solucionar problemas de manera efectiva.
Que habilidades cognitivas se desarrollan al utilizar la taxonomia de Bloom para analizar problemas de programacion?;Preguntas de respuesta corta;Analizar;Recordar Comprender Aplicar Analizar Evaluar Crear
En que medida la aplicacion de la taxonomia de Bloom en la ensenanza de la programacion puede mejorar la capacidad de los estudiantes para evaluar y comparar diferentes soluciones a un problema, y como puede esto influir en su exito en la industria de la programacion? Por favor, desarrolle su respuesta con ejemplos concretos de la aplicacion de la taxonomia en proyectos de programacion y como se puede evaluar el exito de dichos proyectos.;Preguntas de composicion y ensayo;Evaluar;La aplicacion de la taxonomia de Bloom en la enseñanza de la programacion puede mejorar significativamente la capacidad de los estudiantes para evaluar y comparar diferentes soluciones a un problema. Esto se debe a que la evaluacion es una habilidad clave que se desarrolla al utilizar la taxonomia de Bloom.
Cual es la analogia/diferencia entre la taxonomia de Bloom para la creacion en la programacion y la metodologia agil de desarrollo de software? Como se pueden combinar ambas para mejorar la eficiencia y calidad en la creacion de software? Por favor, proporcione ejemplos especificos de como la taxonomia de Bloom se puede aplicar en conjunto con la metodologia agil para mejorar el proceso de desarrollo de software.;Preguntas analogias/diferencias;Crear;La taxonomia de Bloom y la metodologia agil de desarrollo de software son dos enfoques diferentes para abordar la creacion de software, pero pueden complementarse entre si para mejorar la eficiencia y calidad en el proceso de desarrollo. La taxonomia de Bloom se centra en desarrollar habilidades cognitivas y se divide en seis niveles de pensamiento: recordar, comprender, aplicar, analizar, evaluar y crear. Por otro lado, la metodologia agil de desarrollo de software se enfoca en un proceso iterativo e incremental, en el que se desarrollan y entregan funcionalidades en ciclos cortos y se hace enfasis en la comunicacion constante entre los miembros del equipo y los stakeholders.
